Industry,Packaging_Material,Material_Type,Packaged_Item,Strength,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Packaging_Cost_INR,Strength_Encoded,CO2_Impact_Index,Cost_per_kg,Cost_Efficiency_Index,Material_Suitability_Score,Log_Packaging_Cost,Sustainability_Tier
Textiles,Recycled Kraft Paper,Paper,Woolen Sweater,Medium,13.1,68,41,88,1.92,2,63.5,0.1466,99.695,79.307,1.0716,Excellent
Home Appliances,Molded Pulp,Paper,Water Heater,Medium,10.08,81,36,92,13.57,2,72.5,1.3462,97.196,82.382,2.679,Excellent
Furniture,Honeycomb Board,Cardboard,Mattress,High,38.73,74,41,88,1.45,3,66.5,0.0374,99.922,86.93,0.8961,Excellent
Healthcare,Rpet Tray,Recycled Plastic,Ayurvedic Oil,Medium,10.04,13,69,76,14.89,2,22.0,1.4831,96.91,63.161,2.7657,Good
Food,Banana Leaf Wrap,Natural Fiber,Pasta,Low,2.06,96,8,97,6.07,1,94.0,2.9466,93.862,82.582,1.9559,Excellent
Electronics,Hemp Fiber Bag,Natural Fiber,Smart Watch,Medium,11.6,91,18,85,75.93,2,86.5,6.5457,86.364,82.124,4.3429,Excellent
Food,Recycled Glass Jar,Recycled Glass,Cookies,High,19.31,39,55,96,61.9,3,42.0,3.2056,93.322,79.93,4.1415,Excellent
Healthcare,Molded Pulp,Paper,Eye Drops,Medium,8.93,75,32,89,11.05,2,71.5,1.2374,97.422,81.389,2.4891,Excellent
Toys,Corrugated Cardboard,Cardboard,Scooter,High,45.01,69,41,92,11.15,3,64.0,0.2477,99.484,87.071,2.4973,Excellent
Home Appliances,Honeycomb Board,Cardboard,Hand Blender,High,44.93,72,38,92,20.2,3,67.0,0.4496,99.063,87.866,3.054,Excellent
Electronics,Corn Starch Foam,Bioplastic,Webcam,Low,2.84,85,24,75,11.43,1,80.5,4.0246,91.616,72.471,2.5201,Good
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Vacuum Cleaner,High,38.87,75,40,90,2.26,3,67.5,0.0581,99.879,87.72,1.1817,Excellent
Toys,Molded Pulp,Paper,Science Kit,Medium,8.7,78,33,91,12.76,2,72.5,1.4667,96.945,82.07,2.6218,Excellent
Furniture,Wood Wool Cushioning,Natural Fiber,Mattress,Low,8.89,84,24,89,34.02,1,80.0,3.8268,92.028,75.924,3.5559,Excellent
Automotive,Jute Sack,Natural Fiber,Oil Filter,High,24.83,86,22,86,3.9,3,82.0,0.1571,99.673,91.018,1.5892,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Solar Lamp,High,46.47,72,36,90,2.26,3,68.0,0.0486,99.899,87.875,1.1817,Excellent
Automotive,Molded Pulp,Paper,Wheel Bearing,Medium,11.24,79,38,92,1.05,2,70.5,0.0934,99.805,82.435,0.7178,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Food Processor,Medium,6.54,88,24,82,32.77,2,82.0,5.0107,89.562,80.824,3.5196,Excellent
Electronics,Hemp Fiber Bag,Natural Fiber,Tablet,Medium,12.35,93,17,90,70.22,2,88.0,5.6858,88.156,84.272,4.2658,Excellent
Food,Rice Husk Tray,Agricultural Waste,Cheese,Medium,6.52,91,17,81,4.59,2,87.0,0.704,98.533,84.317,1.721,Excellent
Cosmetics,Rpet Tray,Recycled Plastic,Exfoliating Scrub,Medium,9.17,14,70,80,11.25,2,22.0,1.2268,97.444,64.294,2.5055,Good
Construction,Aluminum Can,Metal,Grout,High,9.87,20,71,96,44.53,3,24.5,4.5117,90.601,74.0,3.8184,Good
Toys,Pla Bioplastic,Bioplastic,Building Blocks,Medium,8.41,85,28,72,5.11,2,78.5,0.6076,98.734,79.567,1.8099,Excellent
Furniture,Cork Packaging,Natural Material,Bar Stool,Medium,10.71,87,19,82,20.04,2,84.0,1.8711,96.102,83.059,3.0464,Excellent
Furniture,Kraft Paper,Paper,Wall Shelf,Medium,16.55,64,47,88,5.65,2,58.5,0.3414,99.289,77.706,1.8946,Excellent
Toys,Kraft Paper,Paper,Puzzles,Medium,13.45,63,46,83,18.63,2,58.5,1.3851,97.115,75.912,2.9771,Excellent
Healthcare,Rpet Tray,Recycled Plastic,Injections,Medium,9.06,12,69,77,5.0,2,21.5,0.5519,98.85,63.746,1.7918,Good
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Cctv Camera,Medium,6.67,89,23,83,2.31,2,83.0,0.3463,99.279,83.803,1.1969,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Microwave,High,44.11,67,41,91,11.52,3,63.0,0.2612,99.456,86.514,2.5273,Excellent
Furniture,Wood Wool Cushioning,Natural Fiber,Bookshelf,Low,7.66,85,25,85,5.32,1,80.0,0.6945,98.553,76.555,1.8437,Excellent
Furniture,Wood Wool Cushioning,Natural Fiber,Wardrobe,Low,8.33,88,22,86,5.64,1,83.0,0.6771,98.589,77.714,1.8931,Excellent
Construction,Steel Can,Metal,Grout,High,18.88,15,77,95,31.47,3,19.0,1.6668,96.528,73.582,3.4803,Good
Cosmetics,Hemp Fiber Bag,Natural Fiber,Body Lotion,Medium,10.82,93,22,84,36.11,2,85.5,3.3373,93.048,83.245,3.6139,Excellent
Construction,Jute Sack,Natural Fiber,Epoxy Filler,High,26.73,91,24,88,58.43,3,83.5,2.1859,95.446,90.911,4.0848,Excellent
Automotive,Kraft Paper,Paper,Brake Pads,Medium,16.19,63,48,83,0.93,2,57.5,0.0574,99.88,76.303,0.6575,Excellent
Electronics,Honeycomb Board,Cardboard,Smart Watch,High,34.95,70,36,91,4.6,3,67.0,0.1316,99.726,87.782,1.7228,Excellent
Textiles,Recycled Cardboard Box,Recycled Cardboard,Linen Shirt,High,42.43,74,37,89,6.74,3,68.5,0.1588,99.669,87.717,2.0464,Excellent
Healthcare,Glass Vial,Glass,Antiseptic Cream,Medium,4.45,40,51,94,19.66,2,44.5,4.418,90.797,72.883,3.0282,Good
Cosmetics,Duplex Board,Cardboard,Foot Cream,Medium,18.61,67,45,85,15.13,2,61.0,0.813,98.306,77.46,2.7807,Excellent
Construction,Kraft Paper,Paper,Tile Adhesive,Medium,14.47,63,43,88,15.08,2,60.0,1.0422,97.829,77.791,2.7776,Excellent
Healthcare,Pha Bioplastic,Bioplastic,Eye Drops,Medium,7.94,86,26,69,58.37,2,80.0,7.3514,84.686,75.755,4.0838,Excellent
Automotive,Kraft Paper,Paper,Windshield Wiper,Medium,15.17,63,47,83,21.63,2,58.0,1.4258,97.03,75.741,3.1193,Excellent
Electronics,Corn Starch Foam,Bioplastic,Router,Low,3.28,86,25,69,44.01,1,80.5,13.4177,72.049,66.079,3.8069,Good
Food,Kraft Paper,Paper,Tea,Medium,16.57,62,45,85,1.72,2,58.5,0.1038,99.784,77.079,1.0006,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Cctv Camera,Low,8.95,86,28,90,72.45,1,79.0,8.095,83.137,73.651,4.2966,Good
Home Appliances,Corrugated Cardboard,Cardboard,Water Purifier,High,55.61,71,42,87,29.55,3,64.5,0.5314,98.893,85.823,3.4194,Excellent
Furniture,Wood Wool Cushioning,Natural Fiber,Computer Desk,Low,7.04,87,26,91,21.92,1,80.5,3.1136,93.514,76.945,3.132,Excellent
Cosmetics,Duplex Board,Cardboard,Face Wash,Medium,18.28,66,42,88,10.14,2,62.0,0.5547,98.844,78.644,2.4105,Excellent
Textiles,Kraft Paper,Paper,Embroidered Kurti,Medium,13.03,62,43,82,15.64,2,59.5,1.2003,97.5,76.058,2.8118,Excellent
Furniture,Jute Sack,Natural Fiber,Storage Ottoman,High,21.62,90,20,90,54.85,3,85.0,2.537,94.715,91.679,4.0227,Excellent
Textiles,Hemp Fiber Bag,Natural Fiber,Denim Jeans,Medium,13.16,94,18,84,10.41,2,88.0,0.791,98.352,85.321,2.4345,Excellent
Electronics,Corrugated Cardboard,Cardboard,Tablet,High,52.35,71,43,91,19.28,3,64.0,0.3683,99.233,86.758,3.0096,Excellent
Healthcare,Sbs Board,Cardboard,Herbal Powder,Medium,16.08,66,43,84,8.01,2,61.5,0.4981,98.962,77.524,2.1983,Excellent
Automotive,Jute Sack,Natural Fiber,Car Wax,High,26.92,85,21,91,27.21,3,82.0,1.0108,97.894,91.824,3.3397,Excellent
Textiles,Corrugated Cardboard,Cardboard,Saree,High,43.24,67,43,88,10.22,3,62.0,0.2364,99.508,85.477,2.4177,Excellent
Electronics,Molded Pulp,Paper,Memory Card,Medium,9.37,78,33,95,7.96,2,72.5,0.8495,98.23,83.391,2.1928,Excellent
Toys,Bamboo Container,Natural Fiber,Frisbee,High,14.28,87,21,78,17.59,3,83.0,1.2318,97.434,88.758,2.9226,Excellent
Toys,Corrugated Cardboard,Cardboard,Frisbee,High,56.84,73,39,92,24.44,3,67.0,0.43,99.104,87.876,3.2363,Excellent
Food,Bagasse Tray,Bagasse,Rice,Medium,4.76,92,21,83,8.65,2,85.5,1.8172,96.214,83.787,2.267,Excellent
Food,Banana Leaf Wrap,Natural Fiber,Mineral Water,Low,1.96,95,7,95,26.93,1,94.0,13.7398,71.378,76.461,3.3297,Excellent
Food,Sugarcane Bottle,Bioplastic,Tomato Ketchup,Medium,8.32,83,27,72,65.17,2,78.0,7.8329,83.683,75.654,4.1922,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Food Processor,Medium,6.77,86,23,85,9.97,2,81.5,1.4727,96.932,83.266,2.3952,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Vacuum Cleaner,Medium,7.01,89,23,87,9.38,2,83.0,1.3381,97.213,84.287,2.3399,Excellent
Textiles,Sbs Board,Cardboard,Silk Dupatta,Medium,19.43,66,43,84,51.46,2,61.5,2.6485,94.483,76.404,3.9601,Excellent
Toys,Sbs Board,Cardboard,Scooter,Medium,19.76,64,41,89,9.45,2,61.5,0.4782,99.004,78.784,2.3466,Excellent
Construction,Stone Paper,Paper,Floor Leveling Compound,Medium,12.24,60,50,86,0.66,2,55.0,0.0539,99.888,76.305,0.5068,Excellent
Food,Beeswax Wrap,Natural Wax,Chips,Low,2.6,92,12,87,30.59,1,90.0,11.7654,75.491,74.289,3.4528,Good
Textiles,Pineapple Fiber Bag,Natural Fiber,Socks,Medium,7.98,91,20,88,5.39,2,85.5,0.6754,98.593,85.632,1.8547,Excellent
Furniture,Molded Pulp,Paper,Shoe Rack,Medium,9.29,78,35,93,0.57,2,71.5,0.0614,99.872,83.001,0.4511,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Vacuum Cleaner,Low,3.27,84,20,73,10.68,1,82.0,3.2661,93.196,72.816,2.4579,Good
Cosmetics,Glass Vial,Glass,Body Butter,Medium,4.94,37,51,92,157.43,2,43.0,31.8684,33.613,57.637,5.0653,Good
Food,Steel Can,Metal,Cookies,High,19.12,20,76,95,48.48,3,22.0,2.5356,94.718,74.03,3.9016,Good
Furniture,Honeycomb Board,Cardboard,Wall Shelf,High,36.58,73,37,89,59.26,3,68.0,1.62,96.625,86.806,4.0987,Excellent
Textiles,Jute Sack,Natural Fiber,Pillow Covers,High,21.3,89,19,86,74.74,3,85.0,3.5089,92.69,90.172,4.3273,Excellent
Toys,Molded Pulp,Paper,Soft Toys,Medium,8.81,81,34,91,3.02,2,73.5,0.3428,99.286,82.955,1.3913,Excellent
Toys,Molded Pulp,Paper,Building Blocks,Medium,8.69,79,38,94,10.91,2,70.5,1.2555,97.385,82.33,2.4774,Excellent
Automotive,Jute Sack,Natural Fiber,Windshield Wiper,High,27.34,88,23,89,71.91,3,82.5,2.6302,94.521,90.63,4.2892,Excellent
Cosmetics,Frosted Glass Bottle,Glass,Hand Cream,High,31.09,38,54,95,25.89,3,42.0,0.8327,98.265,80.916,3.2918,Excellent
Food,Steel Can,Metal,Soft Drinks,High,17.04,21,74,99,74.61,3,23.5,4.3785,90.879,74.52,4.3256,Good
Furniture,Molded Pulp,Paper,Bean Bag,Medium,8.57,77,33,94,5.08,2,72.0,0.5928,98.765,83.125,1.805,Excellent
Construction,Stone Paper,Paper,Waterproofing Chemical,Medium,10.25,55,47,89,3.22,2,54.0,0.3141,99.346,76.62,1.4398,Excellent
Healthcare,Glass Vial,Glass,Eye Drops,Medium,5.37,40,54,98,44.85,2,43.0,8.352,82.601,71.384,3.8254,Good
Cosmetics,Cotton Bag,Natural Fiber,Toner,Medium,8.8,88,24,82,5.81,2,82.0,0.6602,98.625,83.09,1.9184,Excellent
Healthcare,Kraft Paper,Paper,Antiseptic Cream,Medium,13.6,64,46,83,0.8,2,59.0,0.0588,99.878,76.753,0.5878,Excellent
Textiles,Pineapple Fiber Bag,Natural Fiber,Pillow Covers,Medium,9.06,90,17,84,39.27,2,86.5,4.3344,90.971,83.026,3.6956,Excellent
Textiles,Corrugated Cardboard,Cardboard,Bed Sheets,High,46.41,70,38,91,14.68,3,66.0,0.3163,99.341,87.385,2.7524,Excellent
Healthcare,Glassine Paper,Paper,Capsules,Low,5.56,64,54,85,27.6,1,55.0,4.964,89.659,66.831,3.3534,Good
Food,Rice Husk Tray,Agricultural Waste,Wine,Medium,5.69,92,23,81,5.11,2,84.5,0.8981,98.129,83.466,1.8099,Excellent
Electronics,Corn Starch Foam,Bioplastic,Webcam,Low,2.62,84,20,70,64.86,1,82.0,24.7557,48.43,60.874,4.1875,Good
Construction,Tin Container,Metal,Plaster Of Paris,High,15.63,17,72,100,101.08,3,22.5,6.4671,86.528,73.382,4.6258,Good
Furniture,Corrugated Cardboard,Cardboard,Mattress,High,43.77,71,41,87,8.83,3,65.0,0.2017,99.58,86.145,2.2854,Excellent
Cosmetics,Pla Bioplastic,Bioplastic,Toner,Medium,6.9,85,27,70,28.14,2,79.0,4.0783,91.504,77.409,3.3721,Excellent
Cosmetics,Cork Packaging,Natural Material,Eye Shadow,Medium,9.41,91,20,88,88.55,2,85.5,9.4102,80.397,81.083,4.4948,Excellent
Furniture,Kraft Paper,Paper,Dining Table,Medium,12.91,68,45,83,1.48,2,61.5,0.1146,99.761,77.474,0.9083,Excellent
Toys,Pla Bioplastic,Bioplastic,Action Figures,Medium,7.58,87,23,71,35.88,2,82.0,4.7335,90.139,78.218,3.6077,Excellent
Toys,Kraft Paper,Paper,Football,Medium,16.77,67,45,87,4.49,2,61.0,0.2677,99.442,78.244,1.7029,Excellent
Healthcare,Glassine Paper,Paper,Cotton Swabs,Low,5.48,64,49,81,2.99,1,57.5,0.5456,98.863,68.882,1.3838,Good
Furniture,Wood Wool Cushioning,Natural Fiber,Bar Stool,Low,8.99,83,25,89,15.22,1,79.0,1.693,96.473,76.735,2.7862,Excellent
Healthcare,Recycled Glass Jar,Recycled Glass,Diagnostic Kits,High,19.43,38,54,95,110.95,3,42.0,5.7102,88.105,78.376,4.7181,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Calculator,High,46.31,70,38,94,2.64,3,66.0,0.057,99.881,88.27,1.292,Excellent
Automotive,Tin Container,Metal,Air Filter,High,14.56,22,72,98,13.03,3,25.0,0.8949,98.136,76.534,2.6412,Excellent
Textiles,Pineapple Fiber Bag,Natural Fiber,Pillow Covers,Medium,9.11,89,22,85,8.24,2,83.5,0.9045,98.116,84.162,2.2235,Excellent
Cosmetics,Glass Vial,Glass,Lip Gloss,Medium,4.44,40,51,95,176.33,2,44.5,39.714,17.269,54.751,5.178,Average
Home Appliances,Wood Wool Cushioning,Natural Fiber,Iron Box,Low,8.88,86,28,88,6.64,1,79.0,0.7477,98.442,76.977,2.0334,Excellent
Textiles,Recycled Cardboard Box,Recycled Cardboard,Socks,High,43.04,75,38,95,31.7,3,68.5,0.7365,98.466,88.916,3.4874,Excellent
Toys,Rpet Tray,Recycled Plastic,Board Games,Medium,10.62,14,75,75,47.23,2,19.5,4.4473,90.736,60.617,3.876,Good
Automotive,Recycled Cardboard Box,Recycled Cardboard,Oil Filter,High,46.72,74,41,93,12.49,3,66.5,0.2673,99.443,88.061,2.6019,Excellent
Automotive,Molded Pulp,Paper,Car Led Lights,Medium,10.63,79,35,89,0.78,2,72.0,0.0734,99.847,82.145,0.5766,Excellent
Automotive,Tin Container,Metal,Seat Covers,High,12.92,16,74,100,78.49,3,21.0,6.0751,87.345,73.136,4.3756,Good
Automotive,Steel Can,Metal,Windshield Wiper,High,17.35,21,76,98,5.17,3,22.5,0.298,99.379,76.095,1.8197,Excellent
Textiles,Corrugated Cardboard,Cardboard,Saree,High,51.86,72,40,93,2.32,3,66.0,0.0447,99.907,88.027,1.2,Excellent
Construction,Tin Container,Metal,Marble Polish,High,15.47,19,71,94,5.51,3,24.0,0.3562,99.258,75.514,1.8733,Excellent
Food,Greaseproof Paper,Paper,Cheese,Low,6.96,62,51,82,24.43,1,55.5,3.5101,92.688,66.989,3.2359,Good
Healthcare,Kraft Paper,Paper,Eye Drops,Medium,16.05,64,47,83,21.82,2,58.5,1.3595,97.168,75.925,3.1276,Excellent
Electronics,Honeycomb Board,Cardboard,Electric Toothbrush,High,40.41,73,38,93,1.38,3,67.5,0.0341,99.929,88.482,0.8671,Excellent
Food,Beeswax Wrap,Natural Wax,Pasta,Low,3.17,93,13,86,42.85,1,90.0,13.5174,71.841,73.127,3.7808,Good
Cosmetics,Glass Jar,Glass,Exfoliating Scrub,High,24.73,33,52,94,135.17,3,40.5,5.4658,88.614,77.804,4.9139,Excellent
Healthcare,Recycled Cardboard Box,Recycled Cardboard,Ayurvedic Oil,High,48.11,74,40,93,41.66,3,67.0,0.8659,98.196,87.899,3.7533,Excellent
Automotive,Recycled Cardboard Box,Recycled Cardboard,Brake Fluid,High,44.84,73,39,89,1.32,3,67.0,0.0294,99.939,87.335,0.8416,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Microwave,High,43.18,71,37,94,2.03,3,67.0,0.047,99.902,88.575,1.1086,Excellent
Construction,Jute Sack,Natural Fiber,Putty,High,21.25,88,22,87,39.76,3,83.0,1.8711,96.102,90.676,3.7077,Excellent
Furniture,Corrugated Cardboard,Cardboard,Outdoor Furniture,High,53.45,70,37,89,10.4,3,66.5,0.1946,99.595,87.099,2.4336,Excellent
Construction,Aluminum Can,Metal,Sealant,High,9.77,17,72,96,10.53,3,22.5,1.0778,97.755,75.189,2.445,Excellent
Toys,Sbs Board,Cardboard,Football,Medium,17.15,69,46,86,2.38,2,61.5,0.1388,99.711,78.211,1.2179,Excellent
Cosmetics,Pla Bioplastic,Bioplastic,Hand Cream,Medium,7.59,88,27,72,7.88,2,80.5,1.0382,97.837,79.943,2.1838,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Mattress,High,50.8,70,36,91,2.88,3,67.0,0.0567,99.882,87.82,1.3558,Excellent
Furniture,Corrugated Cardboard,Cardboard,Cabinet,High,45.14,67,41,87,2.84,3,63.0,0.0629,99.869,85.617,1.3455,Excellent
Construction,Aluminum Can,Metal,Tile Cleaner,High,10.24,23,69,99,24.67,3,27.0,2.4092,94.981,76.595,3.2453,Excellent
Home Appliances,Corrugated Cardboard,Cardboard,Induction Cooktop,High,50.21,69,37,91,36.55,3,66.0,0.7279,98.484,87.171,3.6257,Excellent
Furniture,Jute Sack,Natural Fiber,Chair,High,28.01,87,22,88,3.84,3,82.5,0.1371,99.714,91.678,1.5769,Excellent
Furniture,Wood Wool Cushioning,Natural Fiber,Outdoor Furniture,Low,6.8,85,23,85,4.59,1,81.0,0.675,98.594,76.865,1.721,Excellent
Healthcare,Glass Vial,Glass,Capsules,Medium,5.15,37,51,94,149.24,2,43.0,28.9786,39.633,59.642,5.0122,Good
Automotive,Honeycomb Board,Cardboard,Touch Up Paint,High,35.38,73,40,91,7.85,3,66.5,0.2219,99.538,87.584,2.1804,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Laptop,High,49.57,72,36,93,3.79,3,68.0,0.0765,99.841,88.61,1.5665,Excellent
Textiles,Recycled Kraft Paper,Paper,Thread Spools,Medium,11.31,73,37,86,6.53,2,68.0,0.5774,98.797,79.933,2.0189,Excellent
Healthcare,Rpet Tray,Recycled Plastic,Thermometer Strips,Medium,9.33,13,74,76,44.43,2,19.5,4.7621,90.08,60.703,3.8162,Good
Healthcare,Rpet Tray,Recycled Plastic,Syrups,Medium,8.76,9,75,76,23.2,2,17.0,2.6484,94.483,61.054,3.1864,Good
Automotive,Tin Container,Metal,Air Filter,High,15.85,20,70,94,54.93,3,25.0,3.4656,92.781,74.195,4.0241,Good
Cosmetics,Glass Vial,Glass,Lip Balm,Medium,4.38,39,53,92,8.9,2,43.0,2.032,95.767,73.175,2.2925,Good
Healthcare,Pha Bioplastic,Bioplastic,Ointments,Medium,7.0,89,23,75,88.59,2,83.0,12.6557,73.636,75.392,4.4952,Excellent
Electronics,Corrugated Cardboard,Cardboard,Keyboard,High,45.63,72,39,93,46.76,3,66.5,1.0248,97.865,87.666,3.8662,Excellent
Home Appliances,Molded Pulp,Paper,Rice Cooker,Medium,9.68,80,37,94,4.78,2,71.5,0.4938,98.971,83.026,1.7544,Excellent
Home Appliances,Wheat Straw Pulp Box,Agricultural Waste,Electric Kettle,Medium,7.38,89,19,86,11.33,2,85.0,1.5352,96.802,84.534,2.512,Excellent
Furniture,Corrugated Cardboard,Cardboard,Bed Frame,High,51.91,67,39,87,22.11,3,64.0,0.4259,99.113,85.728,3.1403,Excellent
Automotive,Jute Sack,Natural Fiber,Wheel Bearing,High,26.21,86,21,89,17.55,3,82.5,0.6696,98.605,91.651,2.9205,Excellent
Construction,Recycled Cardboard Box,Recycled Cardboard,Wall Putty,High,38.77,71,38,90,44.33,3,66.5,1.1434,97.618,86.854,3.814,Excellent
Textiles,Recycled Kraft Paper,Paper,Pillow Covers,Medium,12.64,69,39,89,29.75,2,65.0,2.3536,95.097,78.858,3.4259,Excellent
Textiles,Sbs Board,Cardboard,Linen Shirt,Medium,15.93,68,44,87,10.91,2,62.0,0.6849,98.573,78.327,2.4774,Excellent
Cosmetics,Cork Packaging,Natural Material,Lip Balm,Medium,10.76,86,20,84,19.71,2,83.0,1.8318,96.184,83.279,3.0306,Excellent
Automotive,Honeycomb Board,Cardboard,Fuel Injector,High,37.71,71,41,93,41.53,3,65.0,1.1013,97.706,87.176,3.7502,Excellent
Healthcare,Aluminum Tube,Metal,Vaccine,Medium,4.3,19,68,88,30.46,2,25.5,7.0837,85.243,64.294,3.4487,Good
Food,Kraft Paper,Paper,Turmeric Powder,Medium,14.1,67,47,85,7.83,2,60.0,0.5553,98.843,77.294,2.1782,Excellent
Healthcare,Glass Vial,Glass,Eye Drops,Medium,5.35,40,52,95,86.12,2,44.0,16.0972,66.467,66.9,4.4673,Good
Cosmetics,Cork Packaging,Natural Material,Conditioner,Medium,8.84,90,20,86,43.0,2,85.0,4.8643,89.867,82.8,3.7842,Excellent
Healthcare,Molded Pulp,Paper,Antiseptic Cream,Medium,11.47,76,36,94,4.73,2,70.0,0.4124,99.141,82.619,1.7457,Excellent
Construction,Recycled Cardboard Box,Recycled Cardboard,Rust Remover,High,49.61,72,37,92,1.1,3,67.5,0.0222,99.954,88.238,0.7419,Excellent
Food,Corrugated Cardboard,Cardboard,Cooking Oil,High,50.12,73,40,91,4.04,3,66.5,0.0806,99.832,87.658,1.6174,Excellent
Food,Glass Jar,Glass,Ghee,High,26.43,39,52,95,8.17,3,43.5,0.3091,99.356,81.639,2.2159,Excellent
Home Appliances,Wood Wool Cushioning,Natural Fiber,Water Purifier,Low,7.95,86,28,85,17.81,1,79.0,2.2403,95.333,75.45,2.9344,Excellent
Food,Areca Nut Leaf Box,Natural Fiber,Frozen Vegetables,Medium,5.64,97,15,94,39.26,2,91.0,6.961,85.499,85.508,3.6954,Excellent
Home Appliances,Corn Starch Foam,Bioplastic,Stand Mixer,Low,2.86,84,23,73,7.46,1,80.5,2.6084,94.566,72.708,2.1353,Good
Healthcare,Glassine Paper,Paper,Pregnancy Test Kit,Low,5.45,64,49,85,3.17,1,57.5,0.5817,98.788,69.864,1.4279,Good
Home Appliances,Corrugated Cardboard,Cardboard,Vacuum Cleaner,High,51.32,73,38,92,1.48,3,67.5,0.0288,99.94,88.235,0.9083,Excellent
Food,Banana Leaf Wrap,Natural Fiber,Chili Powder,Low,1.9,99,5,95,18.62,1,97.0,9.8,79.585,79.413,2.9765,Excellent
Furniture,Jute Sack,Natural Fiber,Bean Bag,High,22.86,88,24,87,5.85,3,82.0,0.2559,99.467,91.217,1.9242,Excellent
Food,Glass Jar,Glass,Dry Fruits,High,23.07,38,53,92,15.67,3,42.5,0.6792,98.585,80.396,2.8136,Excellent
Furniture,Recycled Cardboard Box,Recycled Cardboard,Sofa,High,40.21,74,38,92,2.89,3,68.0,0.0719,99.85,88.362,1.3584,Excellent
Construction,Jute Sack,Natural Fiber,Primer,High,28.17,87,25,91,72.89,3,81.0,2.5875,94.61,90.702,4.3026,Excellent
Textiles,Corrugated Cardboard,Cardboard,Denim Jeans,High,51.08,70,37,88,53.31,3,66.5,1.0437,97.826,86.406,3.9947,Excellent
Toys,Sbs Board,Cardboard,Cricket Bat,Medium,17.9,66,40,86,23.05,2,63.0,1.2877,97.318,78.063,3.1801,Excellent
Food,Molded Pulp,Paper,Butter,Medium,9.79,77,38,90,1.01,2,69.5,0.1032,99.785,81.63,0.6981,Excellent
Toys,Pla Bioplastic,Bioplastic,Carrom Board,Medium,6.85,84,24,73,4.24,2,80.0,0.619,98.711,80.261,1.6563,Excellent
Electronics,Wheat Straw Pulp Box,Agricultural Waste,Smart Plug,Medium,5.96,89,20,85,4.82,2,84.5,0.8087,98.315,84.512,1.7613,Excellent
Cosmetics,Glass Vial,Glass,Hair Color,Medium,5.02,43,50,97,132.03,2,46.5,26.3008,45.211,62.836,4.8906,Good
Toys,Kraft Paper,Paper,Frisbee,Medium,14.59,68,47,84,17.34,2,60.5,1.1885,97.524,76.864,2.9091,Excellent
Home Appliances,Recycled Cardboard Box,Recycled Cardboard,Microwave,High,49.48,75,38,90,1.42,3,68.5,0.0287,99.94,88.035,0.8838,Excellent
Healthcare,Recycled Cardboard Box,Recycled Cardboard,Pain Relief Gel,High,50.48,75,35,89,1.32,3,70.0,0.0261,99.946,88.236,0.8416,Excellent
Cosmetics,Bamboo Container,Natural Fiber,Nail Polish,High,15.37,90,19,80,10.66,3,85.5,0.6936,98.555,90.289,2.4562,Excellent
Furniture,Cork Packaging,Natural Material,Mattress,Medium,11.24,91,24,88,74.24,2,83.5,6.605,86.241,81.944,4.3207,Excellent
Automotive,Jute Sack,Natural Fiber,Brake Pads,High,24.27,90,23,90,47.31,3,83.5,1.9493,95.939,91.535,3.8776,Excellent
Automotive,Aluminum Can,Metal,Coolant,High,9.74,18,71,100,10.07,3,23.5,1.0339,97.846,76.512,2.4042,Excellent
Electronics,Wood Wool Cushioning,Natural Fiber,Tablet,Low,8.45,84,22,86,2.9,1,81.0,0.3432,99.285,77.288,1.361,Excellent
Textiles,Jute Sack,Natural Fiber,Woolen Sweater,High,22.95,87,21,91,4.78,3,83.0,0.2083,99.566,92.542,1.7544,Excellent
Electronics,Recycled Cardboard Box,Recycled Cardboard,Mobile Phone,High,48.33,71,37,89,0.85,3,67.0,0.0176,99.963,87.341,0.6152,Excellent
Automotive,Aluminum Can,Metal,Timing Belt,High,11.08,21,70,100,31.3,3,25.5,2.8249,94.115,76.179,3.4751,Excellent
Healthcare,Rpet Tray,Recycled Plastic,Antiseptic Cream,Medium,10.78,10,74,77,32.12,2,18.0,2.9796,93.793,61.432,3.5001,Good
Healthcare,Pha Bioplastic,Bioplastic,Syrups,Medium,6.81,88,22,72,71.77,2,83.0,10.5389,78.046,75.745,4.2873,Excellent
Construction,Tin Container,Metal,Bonding Agent,High,15.14,18,73,95,54.61,3,22.5,3.607,92.486,73.622,4.0184,Good
